Age,Gender,Location,Occupation,Education,Income,Device Ownership,Operating System,Internet Usage,Use of Security Tools,Social Media Usage,Privacy Settings,Info Sharing Frequency,Email Accounts,Email Filtering,Browsing Behavior,Security Awareness,Password Hygiene,Incident History,Sensitive Info Access,Workplace Policies,Remote Work Status,Risk Factor
63,Non-binary,Rural,IT,Master's,High,2,iOS,Medium,Yes,Medium,Public,Often,1,No,Cautious,Medium,Strong,Yes,No,Moderate,No,71
43,Female,Rural,Education,PhD,High,4,iOS,Low,No,Medium,Public,Sometimes,3,Yes,Moderate,Low,Strong,No,Yes,Moderate,Yes,71
22,Male,Urban,Finance,Master's,Low,1,Android,High,No,High,Private,Rarely,4,No,Moderate,Medium,Strong,No,Yes,Moderate,No,73
46,Female,Rural,Education,Associate,Low,4,Other,Low,No,Low,Private,Sometimes,4,No,Cautious,Low,Weak,Yes,Yes,Strict,Yes,78
54,Female,Suburban,Healthcare,Master's,Low,2,Linux,Low,No,High,Private,Rarely,2,Yes,Risky,High,Moderate,No,No,None,Yes,71
37,Male,Suburban,IT,High School,Low,1,Android,Medium,No,Low,Private,Often,1,Yes,Moderate,High,Strong,Yes,No,None,No,61
38,Non-binary,Rural,Legal,PhD,High,1,iOS,Medium,Yes,Low,Public,Sometimes,1,No,Moderate,High,Strong,No,No,Moderate,Yes,57
27,Female,Suburban,Legal,PhD,High,3,Android,Low,No,High,Private,Often,2,Yes,Moderate,High,Weak,No,No,None,Yes,78
22,Male,Urban,Healthcare,Bachelor's,Medium,4,Other,Medium,Yes,Low,Private,Often,1,No,Moderate,Low,Weak,No,No,Strict,No,75
53,Female,Rural,Legal,Bachelor's,Medium,3,Linux,Low,No,Medium,Public,Often,4,No,Risky,Low,Weak,Yes,No,None,Yes,100
23,Non-binary,Rural,Retail,High School,Medium,1,Windows,Low,No,High,Private,Sometimes,4,No,Risky,Low,Weak,No,Yes,Strict,No,80
43,Non-binary,Rural,IT,PhD,High,3,Linux,Medium,Yes,Low,Private,Often,2,Yes,Cautious,Low,Moderate,No,Yes,Moderate,Yes,69
21,Non-binary,Suburban,Healthcare,PhD,High,3,Android,Medium,No,Medium,Public,Sometimes,2,No,Cautious,Low,Moderate,Yes,No,Moderate,No,76
56,Male,Suburban,IT,Bachelor's,High,2,iOS,High,No,Low,Private,Often,3,Yes,Moderate,Low,Weak,Yes,Yes,Moderate,Yes,91
56,Male,Rural,Finance,Bachelor's,Medium,3,Other,Medium,No,Low,Public,Rarely,4,Yes,Cautious,High,Weak,Yes,No,None,No,75
52,Non-binary,Suburban,IT,Master's,Low,1,Android,High,No,Medium,Private,Sometimes,4,No,Risky,Low,Strong,No,No,Strict,No,68
18,Male,Suburban,IT,PhD,Low,3,Windows,Medium,Yes,Medium,Public,Rarely,4,No,Moderate,Medium,Moderate,No,No,Moderate,No,60
41,Non-binary,Rural,Finance,PhD,Low,1,Other,Medium,Yes,High,Private,Rarely,4,No,Moderate,Medium,Strong,Yes,No,Strict,Yes,63
53,Male,Rural,Healthcare,Master's,Low,1,Other,Medium,No,Low,Public,Sometimes,4,Yes,Moderate,Medium,Weak,No,Yes,Moderate,Yes,66
23,Non-binary,Suburban,IT,PhD,Low,2,Other,Medium,Yes,High,Private,Sometimes,3,Yes,Cautious,Low,Strong,Yes,Yes,Strict,Yes,71
58,Female,Rural,Education,High School,High,1,Android,Low,Yes,High,Private,Sometimes,2,No,Moderate,High,Weak,No,No,Moderate,No,61
63,Non-binary,Rural,IT,Bachelor's,Medium,1,Windows,Medium,No,Low,Public,Often,2,Yes,Moderate,Medium,Moderate,No,Yes,Strict,Yes,75
61,Non-binary,Rural,Healthcare,Bachelor's,Low,2,Android,Low,No,Low,Public,Often,1,Yes,Risky,Low,Strong,No,Yes,Strict,No,78
48,Male,Rural,Legal,Bachelor's,Low,1,Other,Medium,Yes,High,Public,Rarely,4,Yes,Moderate,Low,Strong,Yes,Yes,Strict,Yes,73
37,Male,Suburban,Finance,Associate,Low,2,Other,Medium,Yes,Medium,Private,Sometimes,4,No,Cautious,High,Strong,Yes,No,None,Yes,63
41,Male,Rural,Legal,High School,High,4,iOS,Low,Yes,High,Public,Rarely,2,No,Moderate,Low,Moderate,No,No,Moderate,Yes,76
42,Male,Urban,Healthcare,High School,Low,4,Linux,Medium,Yes,Low,Private,Often,4,Yes,Cautious,Low,Moderate,Yes,Yes,Strict,No,69
53,Male,Rural,Retail,Master's,Medium,4,Android,High,Yes,Medium,Public,Rarely,4,Yes,Risky,Medium,Strong,Yes,Yes,None,Yes,82
38,Male,Urban,Legal,Associate,High,1,Windows,High,Yes,High,Private,Rarely,4,No,Risky,Medium,Strong,No,No,None,Yes,80
47,Female,Rural,IT,PhD,High,3,Other,Medium,No,Low,Private,Sometimes,2,Yes,Moderate,Medium,Strong,No,No,None,Yes,61
41,Non-binary,Urban,IT,High School,High,2,Android,High,No,Medium,Public,Sometimes,1,Yes,Risky,Medium,Weak,Yes,No,Strict,Yes,83
61,Non-binary,Urban,Finance,Associate,Low,4,Linux,High,Yes,Medium,Private,Rarely,2,No,Moderate,Medium,Weak,Yes,No,Strict,Yes,83
59,Non-binary,Rural,IT,Associate,Low,2,Android,High,No,Medium,Public,Often,4,No,Risky,Low,Weak,No,Yes,None,No,100
47,Female,Rural,Education,High School,Low,4,Linux,High,No,Low,Public,Rarely,2,No,Risky,Low,Moderate,No,No,Moderate,Yes,81
39,Non-binary,Rural,Education,Master's,Low,4,Android,Low,Yes,High,Public,Often,3,Yes,Cautious,High,Strong,No,No,Strict,No,58
45,Female,Urban,Legal,Associate,Medium,1,iOS,Low,Yes,Low,Private,Rarely,4,No,Cautious,Medium,Weak,No,No,Strict,No,53
24,Female,Suburban,Healthcare,Bachelor's,High,2,Android,Low,Yes,Low,Private,Rarely,2,Yes,Moderate,Medium,Strong,No,No,Moderate,No,53
52,Female,Suburban,Finance,Associate,Low,1,iOS,High,No,Medium,Private,Sometimes,2,No,Moderate,Medium,Moderate,Yes,No,Strict,No,61
45,Non-binary,Rural,Retail,PhD,Medium,2,Linux,High,Yes,High,Private,Rarely,1,No,Cautious,Medium,Weak,Yes,Yes,Moderate,Yes,78
31,Female,Suburban,Legal,High School,High,2,Other,Low,No,Medium,Public,Often,4,No,Risky,Medium,Strong,Yes,No,Moderate,Yes,87
27,Non-binary,Suburban,Healthcare,PhD,High,3,Other,High,No,Low,Private,Rarely,3,No,Moderate,Low,Moderate,Yes,No,Strict,No,75
33,Non-binary,Rural,Finance,Master's,High,4,Android,Low,Yes,Medium,Public,Rarely,3,No,Risky,Low,Moderate,Yes,No,None,No,85
33,Male,Urban,Finance,Bachelor's,Low,1,Windows,Low,No,Low,Private,Often,4,No,Cautious,Medium,Weak,No,Yes,Strict,Yes,75
48,Male,Rural,Legal,High School,High,3,Android,Low,Yes,Low,Private,Rarely,2,Yes,Risky,Low,Moderate,No,Yes,None,No,68
59,Female,Suburban,Healthcare,Associate,Low,2,iOS,High,Yes,Low,Private,Rarely,3,No,Risky,Medium,Moderate,No,No,Strict,No,61
42,Female,Urban,Healthcare,Bachelor's,Medium,4,iOS,Low,No,Medium,Private,Rarely,4,Yes,Moderate,High,Weak,No,Yes,None,No,70
30,Non-binary,Suburban,IT,Associate,High,1,Linux,Medium,Yes,High,Public,Rarely,3,No,Risky,Medium,Strong,Yes,No,Moderate,Yes,79
23,Female,Urban,Retail,Master's,Medium,3,Android,Low,Yes,Medium,Private,Often,4,Yes,Cautious,High,Moderate,Yes,Yes,None,Yes,72
61,Female,Suburban,Education,High School,Low,2,Linux,Low,Yes,Low,Public,Often,3,Yes,Risky,High,Strong,Yes,No,None,No,71
26,Non-binary,Rural,IT,Master's,Low,3,Windows,Medium,Yes,Medium,Public,Often,1,Yes,Cautious,Medium,Strong,No,No,Strict,Yes,60
62,Female,Suburban,Finance,Master's,Low,2,Other,High,Yes,Low,Private,Often,4,No,Cautious,Medium,Strong,Yes,No,Moderate,Yes,75
53,Female,Suburban,Retail,Master's,High,2,Other,Low,Yes,High,Private,Rarely,1,Yes,Moderate,Medium,Weak,No,Yes,None,Yes,70
60,Non-binary,Urban,Retail,Master's,High,4,Android,Medium,No,High,Public,Often,4,No,Cautious,Medium,Moderate,No,No,None,Yes,86
37,Non-binary,Suburban,Healthcare,Associate,Medium,1,Linux,High,Yes,Low,Private,Rarely,3,Yes,Cautious,Low,Weak,Yes,No,Strict,Yes,73
35,Male,Rural,Retail,PhD,Low,4,Linux,Medium,No,High,Private,Sometimes,3,No,Moderate,Low,Strong,No,Yes,Moderate,Yes,72
60,Non-binary,Rural,Legal,Associate,Medium,1,Windows,Low,Yes,Low,Public,Rarely,2,Yes,Moderate,High,Moderate,Yes,Yes,None,No,72
38,Male,Rural,Retail,Bachelor's,Low,1,Linux,Medium,Yes,Medium,Private,Rarely,3,Yes,Moderate,Medium,Strong,Yes,No,Strict,No,46
21,Female,Urban,Finance,Master's,Low,2,iOS,High,No,Medium,Private,Often,1,No,Cautious,Low,Strong,No,No,Moderate,Yes,78
50,Non-binary,Urban,Legal,Bachelor's,Medium,3,iOS,Low,No,High,Private,Often,2,Yes,Moderate,Low,Weak,No,Yes,None,Yes,83
44,Non-binary,Suburban,Legal,Associate,Low,1,iOS,Medium,Yes,High,Public,Often,1,Yes,Cautious,Low,Weak,No,Yes,None,Yes,79
24,Non-binary,Suburban,IT,Master's,Medium,1,Android,High,Yes,Low,Public,Sometimes,1,Yes,Cautious,High,Moderate,Yes,Yes,None,Yes,78
23,Female,Suburban,Retail,Associate,High,1,iOS,High,No,High,Public,Rarely,1,Yes,Cautious,Low,Moderate,Yes,Yes,None,No,86
32,Male,Urban,Healthcare,Master's,Medium,1,iOS,Low,No,High,Private,Sometimes,1,No,Moderate,Medium,Strong,Yes,Yes,None,No,71
35,Female,Urban,IT,Associate,Medium,2,Other,Low,No,High,Private,Rarely,1,Yes,Cautious,Low,Strong,Yes,Yes,Moderate,Yes,77
49,Female,Suburban,Healthcare,High School,Low,4,Android,Low,No,Low,Public,Rarely,4,No,Cautious,Medium,Strong,No,No,None,Yes,73
28,Non-binary,Urban,Retail,PhD,Medium,3,iOS,Low,Yes,Medium,Private,Sometimes,4,No,Moderate,Low,Weak,No,No,None,No,58
37,Male,Urban,IT,PhD,High,2,Windows,Medium,No,Low,Public,Sometimes,2,Yes,Moderate,Medium,Moderate,No,No,None,No,61
41,Female,Rural,Retail,Master's,High,2,iOS,High,Yes,Low,Public,Rarely,1,Yes,Cautious,High,Weak,Yes,Yes,None,Yes,76
32,Non-binary,Rural,Finance,High School,High,2,Android,Low,No,High,Private,Sometimes,4,No,Cautious,Low,Weak,Yes,No,Strict,No,76
24,Female,Suburban,IT,Bachelor's,High,1,Linux,Low,Yes,Medium,Public,Often,3,Yes,Cautious,Low,Strong,Yes,Yes,Moderate,Yes,88
38,Female,Suburban,Healthcare,High School,Medium,3,Other,Low,No,Low,Private,Rarely,2,Yes,Moderate,High,Strong,No,No,Moderate,Yes,57
59,Non-binary,Rural,Finance,Master's,High,2,Other,Medium,Yes,High,Private,Often,4,No,Moderate,High,Strong,No,No,Moderate,Yes,73
43,Non-binary,Urban,Education,High School,Medium,2,Android,High,No,Low,Private,Sometimes,3,No,Risky,High,Weak,Yes,Yes,None,Yes,83
61,Male,Suburban,Healthcare,Bachelor's,Medium,2,iOS,High,No,High,Public,Often,2,Yes,Moderate,Medium,Strong,No,No,Moderate,Yes,78
31,Female,Suburban,Retail,Master's,Low,1,Windows,Low,No,Medium,Private,Sometimes,3,Yes,Cautious,Medium,Weak,Yes,No,None,No,60
54,Non-binary,Suburban,Healthcare,PhD,Medium,1,iOS,High,No,Medium,Private,Often,1,Yes,Moderate,Low,Weak,Yes,No,None,No,80
38,Non-binary,Urban,Education,High School,Medium,2,iOS,Medium,Yes,High,Private,Sometimes,3,Yes,Moderate,Medium,Weak,No,No,Strict,No,44
35,Male,Rural,Healthcare,PhD,Low,1,Windows,High,No,Low,Private,Rarely,1,No,Risky,Low,Moderate,Yes,Yes,None,No,85
22,Male,Suburban,Finance,PhD,High,3,Other,Low,No,Low,Public,Rarely,2,No,Risky,High,Weak,Yes,Yes,Moderate,No,90
20,Non-binary,Rural,Legal,Associate,High,1,iOS,High,No,Medium,Public,Rarely,1,Yes,Cautious,Low,Strong,No,No,None,No,78
40,Male,Rural,Healthcare,Bachelor's,Medium,2,Linux,Medium,Yes,Low,Private,Rarely,3,No,Risky,High,Strong,No,Yes,Moderate,Yes,66
43,Non-binary,Urban,IT,High School,Low,3,Linux,Medium,Yes,High,Private,Sometimes,1,No,Cautious,High,Moderate,Yes,Yes,None,No,67
54,Female,Urban,Education,PhD,Medium,1,Android,High,No,High,Public,Often,1,No,Cautious,Low,Strong,Yes,Yes,Strict,Yes,90
41,Male,Urban,Healthcare,PhD,Medium,2,Android,High,Yes,High,Private,Rarely,2,Yes,Cautious,Medium,Strong,No,No,None,Yes,65
36,Female,Urban,Education,Bachelor's,High,4,Windows,Low,Yes,Medium,Private,Sometimes,1,No,Cautious,Medium,Strong,No,No,Moderate,No,55
42,Female,Urban,Legal,PhD,Low,4,Windows,Low,Yes,Medium,Public,Sometimes,4,Yes,Risky,Low,Moderate,Yes,Yes,Strict,No,75
38,Female,Urban,Finance,PhD,Medium,3,Android,Low,No,Medium,Public,Rarely,2,No,Cautious,Medium,Weak,Yes,No,None,Yes,82
29,Non-binary,Suburban,IT,PhD,High,3,iOS,High,Yes,High,Private,Rarely,3,No,Cautious,High,Moderate,No,No,Strict,No,61
58,Female,Rural,Retail,PhD,Medium,3,Other,Medium,Yes,Medium,Public,Sometimes,2,Yes,Moderate,High,Moderate,Yes,Yes,None,Yes,70
50,Female,Urban,Healthcare,Associate,High,1,Linux,Medium,No,High,Public,Often,3,Yes,Cautious,Medium,Strong,Yes,No,Strict,Yes,79
21,Female,Suburban,Finance,Associate,Low,3,Windows,High,No,Low,Private,Sometimes,3,Yes,Moderate,Medium,Strong,No,Yes,None,Yes,73
59,Non-binary,Rural,Education,Master's,Medium,1,Android,Medium,No,Medium,Private,Rarely,1,Yes,Risky,High,Moderate,Yes,Yes,Moderate,Yes,70
24,Female,Urban,Legal,High School,Low,2,Linux,Medium,Yes,Low,Public,Rarely,2,Yes,Moderate,Low,Weak,No,No,None,No,69
39,Female,Urban,Education,Bachelor's,High,1,Windows,High,No,Low,Private,Rarely,3,Yes,Risky,Medium,Moderate,No,No,Moderate,Yes,65
50,Male,Suburban,Legal,Master's,Low,1,Windows,Medium,Yes,Medium,Private,Often,4,Yes,Risky,Medium,Weak,Yes,No,None,Yes,75
34,Non-binary,Rural,Legal,Associate,Low,2,iOS,High,Yes,Medium,Public,Often,1,No,Moderate,Low,Strong,No,No,None,Yes,78
41,Female,Urban,Finance,Associate,Low,4,Windows,Low,No,Low,Private,Often,1,No,Risky,High,Moderate,No,No,Moderate,Yes,75
51,Male,Rural,Healthcare,Associate,Medium,1,Other,Medium,No,Low,Public,Sometimes,3,No,Risky,Low,Weak,No,Yes,Moderate,No,78
45,Non-binary,Suburban,Retail,Master's,High,1,Windows,High,No,Low,Public,Sometimes,4,Yes,Risky,Low,Moderate,Yes,Yes,Moderate,Yes,83
60,Non-binary,Urban,Healthcare,Associate,Low,2,Other,Medium,No,High,Private,Often,1,No,Moderate,Low,Moderate,No,Yes,Moderate,Yes,83
58,Non-binary,Rural,IT,Master's,Medium,3,iOS,Medium,No,Low,Public,Often,2,Yes,Risky,Medium,Strong,Yes,Yes,None,Yes,86
56,Non-binary,Suburban,Healthcare,Associate,High,2,Other,Low,No,High,Private,Rarely,3,No,Cautious,High,Weak,No,No,None,Yes,85
39,Non-binary,Suburban,Legal,PhD,High,4,Linux,High,Yes,Medium,Private,Rarely,4,Yes,Moderate,High,Weak,No,No,None,Yes,78
34,Non-binary,Urban,Legal,PhD,High,3,Windows,Low,No,Low,Private,Sometimes,3,Yes,Cautious,Medium,Weak,No,No,Moderate,Yes,63
51,Female,Rural,IT,High School,Low,4,Android,Medium,Yes,Medium,Private,Often,1,Yes,Moderate,Low,Weak,No,No,None,No,68
23,Female,Urban,Education,Associate,Low,1,Android,Medium,Yes,Low,Public,Often,4,No,Cautious,Medium,Weak,No,Yes,None,No,71
63,Female,Urban,Legal,High School,Low,4,Other,Medium,Yes,Medium,Private,Sometimes,3,No,Risky,Low,Strong,Yes,No,Strict,No,73
23,Female,Rural,IT,Master's,High,4,iOS,High,Yes,Low,Public,Often,3,No,Cautious,Low,Moderate,Yes,No,Strict,Yes,91
51,Male,Rural,Legal,High School,High,2,Other,Low,Yes,High,Private,Rarely,3,Yes,Cautious,Low,Strong,No,No,Moderate,No,60
18,Female,Rural,Retail,Associate,Low,3,Other,High,Yes,Medium,Private,Often,2,No,Cautious,Low,Moderate,No,No,Moderate,No,67
27,Non-binary,Suburban,Legal,Master's,Low,1,Other,Medium,No,Medium,Public,Sometimes,2,No,Moderate,Medium,Weak,Yes,Yes,Strict,No,73
38,Female,Suburban,Finance,Master's,High,1,Linux,Low,Yes,Low,Public,Sometimes,2,No,Risky,Low,Strong,No,No,None,No,74
22,Female,Rural,IT,PhD,High,1,Linux,Medium,Yes,High,Private,Often,2,No,Risky,Medium,Moderate,No,Yes,None,No,84
19,Non-binary,Suburban,Healthcare,Master's,Medium,3,Other,Low,Yes,High,Public,Sometimes,1,Yes,Cautious,Low,Moderate,Yes,No,Moderate,No,70
39,Female,Urban,IT,Master's,Medium,3,iOS,High,No,High,Public,Rarely,3,Yes,Cautious,Medium,Moderate,No,Yes,None,Yes,78
19,Female,Rural,Education,High School,Low,4,Windows,High,Yes,Low,Public,Rarely,2,Yes,Moderate,High,Weak,Yes,Yes,None,Yes,85
27,Female,Urban,Legal,Master's,High,4,Android,High,Yes,Medium,Private,Rarely,1,No,Cautious,Medium,Strong,No,No,Strict,No,65
51,Male,Rural,IT,Bachelor's,High,3,Linux,High,No,Low,Private,Often,2,Yes,Cautious,High,Moderate,Yes,No,Strict,Yes,76
33,Female,Urban,Retail,PhD,Medium,1,Windows,High,No,High,Private,Sometimes,1,Yes,Cautious,Medium,Weak,Yes,Yes,Moderate,No,70
56,Non-binary,Rural,IT,PhD,High,3,Linux,Low,No,High,Public,Rarely,4,Yes,Moderate,High,Strong,Yes,No,Moderate,No,76
39,Non-binary,Urban,Retail,Master's,Low,2,Linux,Low,Yes,Medium,Private,Sometimes,2,No,Cautious,Medium,Moderate,Yes,Yes,Strict,Yes,61
29,Female,Rural,Legal,High School,Medium,3,Linux,Medium,No,Low,Private,Sometimes,2,Yes,Cautious,Low,Weak,No,Yes,None,No,69
41,Female,Rural,Healthcare,PhD,High,3,Other,Low,No,Low,Public,Sometimes,3,No,Cautious,High,Moderate,No,Yes,Strict,No,68
64,Female,Suburban,Legal,PhD,High,1,Other,Medium,No,High,Private,Rarely,2,Yes,Moderate,Low,Weak,Yes,No,Strict,Yes,83
57,Non-binary,Urban,Education,Bachelor's,Low,4,Linux,High,Yes,Medium,Private,Sometimes,2,No,Moderate,High,Strong,No,Yes,Moderate,Yes,71
55,Non-binary,Suburban,Finance,Master's,High,2,Linux,Low,No,Medium,Private,Rarely,1,Yes,Risky,Low,Moderate,No,No,None,Yes,78
27,Male,Urban,Healthcare,PhD,Medium,2,Android,Low,Yes,High,Public,Rarely,3,No,Moderate,Low,Weak,No,Yes,Moderate,Yes,80
52,Male,Suburban,Healthcare,PhD,Medium,2,Windows,High,Yes,Low,Public,Rarely,3,No,Risky,Medium,Weak,No,No,Moderate,No,72
49,Male,Rural,Finance,PhD,High,3,Windows,High,No,Low,Private,Often,4,No,Risky,Low,Weak,Yes,Yes,Strict,No,95
24,Non-binary,Suburban,IT,PhD,High,1,iOS,High,Yes,Medium,Private,Sometimes,1,No,Cautious,High,Strong,No,No,Strict,Yes,66
38,Male,Suburban,Legal,High School,High,3,iOS,Medium,Yes,Medium,Public,Often,2,No,Risky,High,Weak,No,Yes,Moderate,Yes,81
37,Female,Rural,IT,Associate,High,4,iOS,Medium,Yes,High,Public,Often,1,Yes,Cautious,High,Moderate,No,No,Strict,No,64
43,Female,Suburban,IT,Bachelor's,Medium,1,Other,Low,No,Medium,Public,Often,2,No,Moderate,Medium,Strong,No,Yes,Strict,No,74
21,Non-binary,Rural,Legal,High School,Low,2,Other,High,Yes,Low,Private,Often,4,Yes,Moderate,Medium,Moderate,No,No,None,No,65
63,Male,Urban,Education,Bachelor's,Medium,3,Android,Low,No,Low,Private,Rarely,2,No,Risky,High,Weak,Yes,No,None,No,75
39,Female,Suburban,Healthcare,PhD,High,1,Other,High,Yes,Medium,Public,Rarely,3,Yes,Cautious,Low,Weak,No,Yes,Moderate,Yes,82
32,Non-binary,Rural,Retail,Bachelor's,High,3,iOS,High,No,High,Public,Sometimes,4,Yes,Risky,Medium,Moderate,No,No,None,No,69
57,Male,Rural,Finance,Master's,Medium,1,Linux,High,Yes,Low,Private,Sometimes,2,Yes,Risky,Low,Moderate,No,No,Moderate,Yes,71
38,Female,Suburban,Healthcare,Master's,Medium,2,iOS,High,Yes,Low,Public,Rarely,4,No,Moderate,Medium,Strong,No,Yes,None,No,68
32,Male,Urban,IT,Associate,High,4,Android,High,No,High,Private,Sometimes,3,Yes,Risky,Medium,Weak,Yes,No,Strict,Yes,86
39,Non-binary,Suburban,Finance,Associate,Medium,4,Linux,Medium,Yes,Medium,Public,Sometimes,3,No,Cautious,Medium,Strong,No,No,Strict,No,61
45,Male,Rural,Retail,Bachelor's,High,3,Other,Low,No,Low,Private,Often,1,No,Moderate,Medium,Weak,No,No,Moderate,Yes,70
31,Non-binary,Urban,Healthcare,High School,Medium,2,Linux,High,No,Low,Public,Often,2,Yes,Moderate,High,Moderate,Yes,No,None,Yes,83
44,Male,Suburban,Healthcare,High School,High,3,Android,Medium,Yes,High,Private,Often,4,No,Risky,Medium,Strong,No,Yes,Strict,Yes,76
58,Female,Rural,Education,PhD,Medium,3,Other,Medium,No,Medium,Public,Often,1,Yes,Risky,Medium,Weak,Yes,No,Moderate,Yes,82
57,Non-binary,Suburban,Healthcare,High School,High,1,Windows,High,Yes,High,Private,Often,4,No,Risky,High,Moderate,No,No,None,Yes,90
45,Non-binary,Urban,Healthcare,Associate,Low,1,iOS,High,No,High,Private,Rarely,1,Yes,Cautious,High,Strong,No,Yes,Strict,No,61
43,Non-binary,Urban,Retail,High School,Low,1,iOS,Medium,No,Medium,Private,Often,1,No,Risky,High,Strong,Yes,Yes,None,No,71
19,Male,Urban,Retail,PhD,Medium,2,Android,High,No,Low,Public,Often,1,Yes,Cautious,High,Strong,Yes,No,Moderate,No,70
42,Male,Urban,Finance,Master's,Low,2,Android,Medium,Yes,High,Private,Rarely,3,No,Risky,Low,Moderate,Yes,No,Moderate,No,66
20,Female,Urban,IT,High School,High,3,iOS,High,Yes,Low,Private,Often,3,No,Risky,High,Strong,No,Yes,Moderate,No,76
25,Non-binary,Suburban,Retail,High School,Medium,1,Linux,Medium,Yes,Low,Private,Sometimes,3,Yes,Moderate,High,Weak,No,No,Strict,No,44
61,Non-binary,Urban,Finance,Associate,Medium,2,Windows,High,Yes,Low,Public,Rarely,3,No,Moderate,High,Moderate,No,Yes,Moderate,No,72
50,Male,Urban,Healthcare,Bachelor's,High,3,Windows,Medium,No,Low,Public,Sometimes,4,No,Cautious,Low,Strong,Yes,No,None,Yes,81
59,Male,Rural,Finance,Master's,High,2,Android,Low,Yes,High,Public,Sometimes,2,No,Risky,High,Moderate,Yes,Yes,Strict,Yes,86
52,Female,Urban,Finance,Bachelor's,High,3,Android,High,Yes,Medium,Private,Rarely,3,No,Cautious,Low,Weak,No,Yes,Moderate,No,75
23,Female,Rural,Finance,PhD,Medium,4,Linux,High,No,Low,Public,Rarely,2,Yes,Moderate,Medium,Strong,No,Yes,Moderate,Yes,83
56,Male,Rural,Legal,PhD,High,1,Android,Medium,Yes,Low,Private,Often,1,No,Moderate,Low,Moderate,Yes,No,Strict,Yes,76
40,Non-binary,Rural,Finance,Bachelor's,Low,4,Windows,High,Yes,Low,Public,Rarely,2,Yes,Moderate,High,Moderate,Yes,Yes,Moderate,Yes,75
42,Female,Suburban,Retail,Associate,Medium,3,iOS,Low,No,Medium,Public,Rarely,3,Yes,Moderate,Low,Weak,No,No,None,Yes,70
60,Male,Suburban,Legal,Associate,High,3,Windows,Low,Yes,Low,Public,Often,4,No,Cautious,Low,Weak,No,Yes,Strict,No,85
36,Male,Rural,IT,Associate,Medium,1,Linux,Medium,Yes,Medium,Private,Often,3,No,Risky,Low,Moderate,No,No,None,No,73
22,Non-binary,Suburban,Finance,Master's,Low,1,iOS,Medium,Yes,High,Private,Rarely,4,Yes,Cautious,Low,Strong,No,No,None,No,59
28,Male,Urban,Education,PhD,Low,3,iOS,High,Yes,Medium,Public,Often,3,Yes,Risky,Low,Strong,Yes,No,Moderate,No,68
29,Male,Suburban,Healthcare,PhD,High,2,Windows,Medium,Yes,Low,Public,Often,1,No,Moderate,Low,Moderate,No,No,Strict,Yes,73
27,Female,Urban,Healthcare,PhD,Medium,1,iOS,Low,No,High,Private,Often,4,No,Cautious,Low,Weak,Yes,No,Moderate,No,78
25,Male,Urban,Legal,Master's,High,3,iOS,Low,Yes,Medium,Private,Sometimes,1,No,Risky,Low,Strong,No,No,None,Yes,71
41,Male,Suburban,Healthcare,PhD,Medium,1,Android,High,Yes,Low,Private,Often,3,Yes,Risky,Medium,Strong,No,Yes,Moderate,No,65
45,Female,Suburban,Healthcare,Bachelor's,High,1,iOS,Low,Yes,High,Private,Sometimes,1,Yes,Moderate,Medium,Weak,No,No,Moderate,Yes,59
58,Non-binary,Rural,Legal,High School,High,4,Linux,Medium,Yes,High,Public,Rarely,2,No,Risky,High,Weak,Yes,No,None,Yes,99
53,Non-binary,Suburban,Healthcare,Master's,Medium,4,iOS,High,Yes,Medium,Public,Sometimes,2,Yes,Risky,High,Weak,No,Yes,Moderate,Yes,78
54,Female,Suburban,Finance,High School,Medium,2,Android,High,Yes,Low,Public,Sometimes,4,No,Cautious,High,Moderate,Yes,Yes,None,Yes,78
38,Female,Suburban,IT,Bachelor's,Low,1,Other,High,Yes,Medium,Private,Sometimes,2,Yes,Moderate,High,Moderate,No,No,Strict,No,50
25,Non-binary,Urban,Legal,Associate,Low,3,Other,Medium,Yes,High,Private,Sometimes,2,Yes,Moderate,High,Moderate,No,Yes,None,No,56
26,Non-binary,Urban,Education,Associate,Medium,3,Linux,High,No,High,Public,Sometimes,3,Yes,Risky,High,Weak,Yes,Yes,Strict,Yes,86
64,Non-binary,Urban,Legal,Associate,Low,1,Linux,High,Yes,Low,Public,Sometimes,3,No,Risky,Medium,Moderate,No,Yes,None,No,79
32,Non-binary,Rural,Retail,Master's,Low,1,iOS,Low,Yes,High,Public,Rarely,2,Yes,Moderate,Medium,Weak,Yes,No,None,No,61
63,Non-binary,Rural,Education,Associate,Medium,2,iOS,Low,Yes,Low,Public,Rarely,4,Yes,Moderate,Medium,Moderate,Yes,Yes,Moderate,No,58
57,Female,Rural,Retail,Master's,Medium,2,Other,High,No,Medium,Public,Rarely,2,No,Moderate,Low,Moderate,Yes,No,Strict,Yes,84
35,Male,Urban,Legal,Master's,Medium,2,Other,Medium,Yes,High,Private,Sometimes,3,No,Risky,Low,Strong,No,Yes,None,Yes,78
59,Non-binary,Suburban,Retail,High School,High,3,Windows,Medium,No,High,Public,Often,1,Yes,Risky,High,Weak,No,No,Moderate,Yes,83
37,Non-binary,Rural,Education,Associate,Medium,4,Other,Medium,Yes,Low,Private,Sometimes,4,Yes,Moderate,Medium,Strong,Yes,Yes,Moderate,Yes,58
23,Male,Rural,Finance,PhD,Medium,2,Other,Medium,Yes,Low,Private,Rarely,4,No,Moderate,High,Weak,No,No,Strict,Yes,65
